ms,musician,note,dur,amp,bpm,timbre,delay
0,9,41,1,1,60,Hn,1
3440,0,70,1,1,60,Bn,1
3440,1,70,1,1,60,Va,0
3440,2,44,1,1,60,Tbn,0
3440,3,51,1,1,60,ASax,2
3440,4,58,1,1,60,ASax,0
3440,5,56,1,1,60,Tbn,1
3440,6,68,1,1,60,Fl,0
3440,7,46,1,1,60,Tbn,2
3440,8,37,1,1,60,Hn,3
3440,9,41,1,1,60,Hn,1
7440,0,70,1,1,60,Bn,1
7440,1,70,1,1,60,Va,0
7440,2,44,1,1,60,Tbn,0
7440,3,51,1,1,60,ASax,2
7440,4,58,1,1,60,ASax,0
7440,5,56,1,1,60,Tbn,1
7440,6,68,1,1,60,Fl,0
7440,7,46,1,1,60,Tbn,2
7440,8,37,1,1,60,Hn,3
7440,9,41,1,1,60,Hn,1
11440,0,70,1,1,60,Bn,1
11440,1,70,1,1,60,Va,0
11440,2,44,1,1,60,Tbn,0
11440,3,51,1,1,60,ASax,2
11440,4,58,1,1,60,ASax,0
11440,5,56,1,1,60,Tbn,1
11440,6,68,1,1,60,Fl,0
11440,7,46,1,1,60,Tbn,2
11440,8,37,1,1,60,Hn,3
11440,9,41,1,1,60,Hn,1
15440,0,70,1,1,60,Bn,1
15440,1,70,1,1,60,Va,0
15440,2,44,1,1,60,Tbn,0
15440,3,51,1,1,60,ASax,2
15440,4,58,1,1,60,ASax,0
15440,5,56,1,1,60,Tbn,1
15440,6,68,1,1,60,Fl,0
15440,7,46,1,1,60,Tbn,2
15440,8,37,1,1,60,Hn,3
15440,9,41,1,1,60,Hn,1
19440,0,70,1,1,60,Bn,1
19440,1,70,1,1,60,Va,0
19440,2,44,1,1,60,Tbn,0
19440,3,51,1,1,60,ASax,2
19440,4,58,1,1,60,ASax,0
19440,5,56,1,1,60,Tbn,1
19440,6,68,1,1,60,Fl,0
19440,7,46,1,1,60,Tbn,2
19440,8,37,1,1,60,Hn,3
19440,9,41,1,1,60,Hn,1
23440,0,70,1,1,60,Bn,1
23440,1,70,1,1,60,Va,0
23440,2,44,1,1,60,Tbn,0
23440,3,51,1,1,60,ASax,2
23440,4,58,1,1,60,ASax,0
23440,5,56,1,1,60,Tbn,1
23440,6,68,1,1,60,Fl,0
23440,7,46,1,1,60,Tbn,2
23440,8,37,1,1,60,Hn,3
23440,9,41,1,1,60,Hn,1
27440,0,70,1,1,60,Bn,1
27440,1,70,1,1,60,Va,0
27440,2,44,1,1,60,Tbn,0
27440,3,51,1,1,60,ASax,2
27440,4,58,1,1,60,ASax,0
27440,5,56,1,1,60,Tbn,1
27440,6,68,1,1,60,Fl,0
27440,7,46,1,1,60,Tbn,2
27440,8,37,1,1,60,Hn,3
27440,9,41,1,1,60,Hn,1
31440,0,70,1,1,60,Bn,1
31440,1,70,1,1,60,Va,0
31440,2,44,1,1,60,Tbn,0
31440,3,51,1,1,60,ASax,2
31440,4,58,1,1,60,ASax,0
31440,5,56,1,1,60,Tbn,1
31440,6,68,1,1,60,Fl,0
31440,7,46,1,1,60,Tbn,2
31440,8,37,1,1,60,Hn,3
31440,9,41,1,1,60,Hn,1
35440,0,70,1,1,60,Bn,1
35440,1,70,1,1,60,Va,0
35440,2,44,1,1,60,Tbn,0
35440,3,51,1,1,60,ASax,2
35440,4,58,1,1,60,ASax,0
35440,5,56,1,1,60,Tbn,1
35440,6,68,1,1,60,Fl,0
35440,7,46,1,1,60,Tbn,2
35440,8,37,1,1,60,Hn,3
35440,9,41,1,1,60,Hn,1
39440,0,70,1,1,60,Bn,1
39440,1,70,1,1,60,Va,0
39440,2,44,1,1,60,Tbn,0
39440,3,51,1,1,60,ASax,2
39440,4,58,1,1,60,ASax,0
39440,5,56,1,1,60,Tbn,1
39440,6,68,1,1,60,Fl,0
39440,7,46,1,1,60,Tbn,2
39440,8,37,1,1,60,Hn,3
39440,9,41,1,1,60,Hn,1
43440,0,70,1,1,60,Bn,1
43440,1,70,1,1,60,Va,0
43440,2,44,1,1,60,Tbn,0
43440,3,51,1,1,60,ASax,2
43440,4,58,1,1,60,ASax,0
43440,5,56,1,1,60,Tbn,1
43440,6,68,1,1,60,Fl,0
43440,7,46,1,1,60,Tbn,2
43440,8,37,1,1,60,Hn,3
43440,9,41,1,1,60,Hn,1
47440,0,70,1,1,60,Bn,1
47440,1,70,1,1,60,Va,0
47440,2,44,1,1,60,Tbn,0
47440,3,51,1,1,60,ASax,2
47440,4,58,1,1,60,ASax,0
47440,5,56,1,1,60,Tbn,1
47440,6,68,1,1,60,Fl,0
47440,7,46,1,1,60,Tbn,2
47440,8,37,1,1,60,Hn,3
47440,9,41,1,1,60,Hn,1
