ms,musician,note,dur,amp,bpm,timbre
0,1,68,1,1,60,Trumpet
0,6,54,1,1,60,Oboe
0,7,91,1,1,60,Oboe
1480,0,65,1,1,60,Clarinet_Bb
1480,1,70,1,1,60,Trumpet
1480,2,46,1,1,60,Trombone
1480,3,32,1,1,60,Tuba
1480,4,63,1,1,60,Trumpet
1480,5,70,1,1,60,Trumpet
1480,6,54,1,1,60,Oboe
1480,7,92,1,1,60,Clarinet_Bb
1480,8,70,1,1,60,Trombone
1480,9,42,1,1,60,Trombone
5480,0,65,1,1,60,Clarinet_Bb
5480,1,70,1,1,60,Trumpet
5480,2,46,1,1,60,Trombone
5480,3,32,1,1,60,Tuba
5480,4,63,1,1,60,Trumpet
5480,5,70,1,1,60,Trumpet
5480,6,54,1,1,60,Oboe
5480,7,92,1,1,60,Clarinet_Bb
5480,8,70,1,1,60,Trombone
5480,9,42,1,1,60,Trombone
9480,0,65,1,1,60,Clarinet_Bb
9480,1,70,1,1,60,Trumpet
9480,2,46,1,1,60,Trombone
9480,3,32,1,1,60,Tuba
9480,4,63,1,1,60,Trumpet
9480,5,70,1,1,60,Trumpet
9480,6,54,1,1,60,Oboe
9480,7,92,1,1,60,Clarinet_Bb
9480,8,70,1,1,60,Trombone
9480,9,42,1,1,60,Trombone
13480,0,65,1,1,60,Clarinet_Bb
13480,1,70,1,1,60,Trumpet
13480,2,46,1,1,60,Trombone
13480,3,32,1,1,60,Tuba
13480,4,63,1,1,60,Trumpet
13480,5,70,1,1,60,Trumpet
13480,6,54,1,1,60,Oboe
13480,7,92,1,1,60,Clarinet_Bb
13480,8,70,1,1,60,Trombone
13480,9,42,1,1,60,Trombone
17480,0,65,1,1,60,Clarinet_Bb
17480,1,70,1,1,60,Trumpet
17480,2,46,1,1,60,Trombone
17480,3,32,1,1,60,Tuba
17480,4,63,1,1,60,Trumpet
17480,5,70,1,1,60,Trumpet
17480,6,54,1,1,60,Oboe
17480,7,92,1,1,60,Clarinet_Bb
17480,8,70,1,1,60,Trombone
17480,9,42,1,1,60,Trombone
21480,0,65,1,1,60,Clarinet_Bb
21480,1,70,1,1,60,Trumpet
21480,2,46,1,1,60,Trombone
21480,3,32,1,1,60,Tuba
21480,4,63,1,1,60,Trumpet
21480,5,70,1,1,60,Trumpet
21480,6,54,1,1,60,Oboe
21480,7,92,1,1,60,Clarinet_Bb
21480,8,70,1,1,60,Trombone
21480,9,42,1,1,60,Trombone
25480,0,65,1,1,60,Clarinet_Bb
25480,1,70,1,1,60,Trumpet
25480,2,46,1,1,60,Trombone
25480,3,32,1,1,60,Tuba
25480,4,63,1,1,60,Trumpet
25480,5,70,1,1,60,Trumpet
25480,6,54,1,1,60,Oboe
25480,7,92,1,1,60,Clarinet_Bb
25480,8,70,1,1,60,Trombone
25480,9,42,1,1,60,Trombone
29480,0,65,1,1,60,Clarinet_Bb
29480,1,70,1,1,60,Trumpet
29480,2,46,1,1,60,Trombone
29480,3,32,1,1,60,Tuba
29480,4,63,1,1,60,Trumpet
29480,5,70,1,1,60,Trumpet
29480,6,54,1,1,60,Oboe
29480,7,92,1,1,60,Clarinet_Bb
29480,8,70,1,1,60,Trombone
29480,9,42,1,1,60,Trombone
33480,0,65,1,1,60,Clarinet_Bb
33480,1,70,1,1,60,Trumpet
33480,2,46,1,1,60,Trombone
33480,3,32,1,1,60,Tuba
33480,4,63,1,1,60,Trumpet
33480,5,70,1,1,60,Trumpet
33480,6,54,1,1,60,Oboe
33480,7,92,1,1,60,Clarinet_Bb
33480,8,70,1,1,60,Trombone
33480,9,42,1,1,60,Trombone
37480,0,65,1,1,60,Clarinet_Bb
37480,1,70,1,1,60,Trumpet
37480,2,46,1,1,60,Trombone
37480,3,32,1,1,60,Tuba
37480,4,63,1,1,60,Trumpet
37480,5,70,1,1,60,Trumpet
37480,6,54,1,1,60,Oboe
37480,7,92,1,1,60,Clarinet_Bb
37480,8,70,1,1,60,Trombone
37480,9,42,1,1,60,Trombone
41480,0,65,1,1,60,Clarinet_Bb
41480,1,70,1,1,60,Trumpet
41480,2,46,1,1,60,Trombone
41480,3,32,1,1,60,Tuba
41480,4,63,1,1,60,Trumpet
41480,5,70,1,1,60,Trumpet
41480,6,54,1,1,60,Oboe
41480,7,92,1,1,60,Clarinet_Bb
41480,8,70,1,1,60,Trombone
41480,9,42,1,1,60,Trombone
45480,0,65,1,1,60,Clarinet_Bb
45480,1,70,1,1,60,Trumpet
45480,2,46,1,1,60,Trombone
45480,3,32,1,1,60,Tuba
45480,4,63,1,1,60,Trumpet
45480,5,70,1,1,60,Trumpet
45480,6,54,1,1,60,Oboe
45480,7,92,1,1,60,Clarinet_Bb
45480,8,70,1,1,60,Trombone
45480,9,42,1,1,60,Trombone
49480,0,65,1,1,60,Clarinet_Bb
49480,1,70,1,1,60,Trumpet
49480,2,46,1,1,60,Trombone
49480,3,32,1,1,60,Tuba
49480,4,63,1,1,60,Trumpet
49480,5,70,1,1,60,Trumpet
49480,6,54,1,1,60,Oboe
49480,7,92,1,1,60,Clarinet_Bb
49480,8,70,1,1,60,Trombone
49480,9,42,1,1,60,Trombone
